x,y_0_5,y_1_0,y_1_5,y_2_0,y_2_5,y_3_0,y_3_5,y_4_0,y_8_0
-2.0770770770770772,0.05916050092661277,0.06264795388460352,0.0277552579333857,0.007546932217947645,0.0011235526753611469,7.184614330238636e-05,1.3679456954590746e-06,4.552354037884861e-09,1.8643464098243505e-151
-2.067067067067067,0.059366558927727235,0.06327820970096733,0.028361680227557987,0.007866585270221554,0.0012106259015526736,8.173322568565584e-05,1.6986591900770808e-06,6.500369245723554e-09,9.424915684359353e-146
-2.057057057057057,0.059573836786480094,0.06391480606589545,0.02897983737172405,0.008198134267837357,0.0013037426305540385,9.28654376337137e-05,2.1038367956659515e-06,9.234402249100375e-09,3.0755517190177887e-140
-2.047047047047047,0.059782345945119525,0.06455780676706752,0.02960991604683711,0.008541944911231914,0.001403265093754186,0.00010538346778522023,2.5989291932897633e-06,1.30517838256768e-08,6.560249950956715e-135
-2.037037037037037,0.059992098001033466,0.06520727623388492,0.030252104834809706,0.008898390750128,0.001509572927664496,0.00011944181114587036,3.2022972753001633e-06,1.8354507288496715e-08,9.259668780090407e-130
-2.027027027027027,0.060203104709564345,0.06586327954392673,0.03090659420779515,0.009267853207064755,0.0016230637097257388,0.00013520987373323576,3.935698411643853e-06,2.5683175108483393e-08,8.752770010570584e-125
-2.017017017017017,0.06041537798688767,0.06652588242947056,0.031573576516330255,0.009650721593861359,0.0017441534903762767,0.00015287313798706084,4.82484198275295e-06,3.5760951197128e-08,5.6058532990707656e-120
-2.007007007007007,0.06062892991295766,0.06719515128407896,0.03225324597630786,0.01004739312069909,0.001873277319723021,0.0001726343894010602,5.900021909814868e-06,4.955014357709188e-08,2.460546381994869e-115
-1.9969969969969972,0.06084377273452058,0.06787115316925219,0.0329457986547476,0.01045827289750387,0.002010889767070276,0.00019471500449530407,7.19683442361616e-06,6.832463384794458e-08,7.484128176481803e-111
-1.9869869869869872,0.061059918868198525,0.06855395582114777,0.03365143245433271,0.010883773927309874,0.0021574654314763936,0.00021935629987659012,8.756989800232992e-06,9.376206830932927e-08,1.5946965849564415e-106
-1.9769769769769772,0.061277380903645345,0.06924362765736786,0.0343703470966802,0.011324317091282475,0.0023134994414245047,0.00024682094172754216,1.0629227243985806e-05,1.2806054335273168e-07,2.4056527687148942e-102
-1.9669669669669672,0.06149617160677658,0.06994023778381464,0.03510274410431142,0.011780331125078071,0.0024795079416120042,0.00027739441462363857,1.287034250240312e-05,1.740854671073051e-07,2.5958673790335037e-98
-1.9569569569569571,0.06171630392307585,0.0706438560016149,0.03584882678128974,0.012252252586217276,0.0026560285647842983,0.00031138654810130943,1.5546338140361424e-05,2.3555337197282127e-07,2.0239113518529707e-94
-1.9469469469469471,0.06193779098097975,0.0713545528141141,0.03660880019249156,0.012740525812147739,0.00284362088646218,0.00034913309889047703,1.8733706665875832e-05,3.1726069895364217e-07,1.151370196329843e-90
-1.9369369369369371,0.062160646095343504,0.07207239943394099,0.037382871141475954,0.013245602868673129,0.003042866860339381,0.0003909973861825231,2.252085687201892e-05,4.2536698297988897e-07,4.825036848820086e-87
-1.9269269269269271,0.062384882770989636,0.07279746779014312,0.038171248146918975,0.013767943488425792,0.0032543712320581143,0.0004373719767312681,2.7009693821138917e-05,5.677434442025911e-07,1.5034563363896102e-83
-1.9169169169169171,0.06261051470634238,0.07352983053539426,0.038974141417577365,0.01430801499906147,0.0034787619290059407,0.0004886804159820452,3.2317362831322566e-05,7.543997353771089e-07,3.514995765066448e-80
-1.9069069069069071,0.0628375557971499,0.0742695610532742,0.03979176282574596,0.014866292240857023,0.0037166904237178745,0.0005453790007948008,3.8578167612950994e-05,9.9800350696486e-07,6.220722971461874e-77
-1.8968968968968971,0.06306602014029741,0.075016733465622,0.04062432587917352,0.01544325747339403,0.003968832068413693,0.000607958588674185,4.594567232722448e-05,1.3145095207529918e-06,8.405786142788838e-74
-1.886886886886887,0.06329592203771335,0.07577142263996296,0.04147204569140054,0.01603940027101471,0.0042358863981522615,0.0006769464377460915,5.459499678095716e-05,1.7239172539982162e-06,8.74540078487044e-71
